false_positive_rate,true_positive_rate
0.1657142857142857,0.8635
0.1657142857142857,0.865
0.16857142857142857,0.865
0.16857142857142857,0.8655
0.17014285714285715,0.8655
0.17014285714285715,0.866
0.17185714285714285,0.866
0.17185714285714285,0.867
0.172,0.867
0.172,0.8675
0.17442857142857143,0.8675
0.17442857142857143,0.868
0.17485714285714285,0.868
0.17485714285714285,0.8685
0.17757142857142857,0.8685
0.17757142857142857,0.8695
0.17814285714285713,0.8695
0.17814285714285713,0.87
0.18014285714285713,0.87
0.18014285714285713,0.8705
0.18071428571428572,0.8705
0.18071428571428572,0.871
0.18214285714285713,0.871
0.18214285714285713,0.8715
0.18314285714285714,0.8715
0.18314285714285714,0.872
0.184,0.872
0.184,0.8725
0.18457142857142858,0.8725
0.18457142857142858,0.873
0.18514285714285714,0.873
0.18514285714285714,0.874
0.18685714285714286,0.874
0.18685714285714286,0.875
0.18728571428571428,0.875
0.18728571428571428,0.8755
0.18942857142857142,0.8755
0.18942857142857142,0.876
0.18971428571428572,0.876
0.18971428571428572,0.8765
0.18985714285714286,0.8765
0.18985714285714286,0.877
0.19057142857142856,0.877
0.19057142857142856,0.8775
0.19085714285714286,0.8775
0.19085714285714286,0.8785
0.19214285714285714,0.8785
0.19214285714285714,0.8795
0.193,0.8795
0.193,0.8805
0.194,0.8805
0.194,0.8815
0.1982857142857143,0.8815
0.1982857142857143,0.882
0.1992857142857143,0.882
0.1992857142857143,0.8825
0.20314285714285715,0.8825
0.20314285714285715,0.883
0.20342857142857143,0.883
0.20342857142857143,0.8835
0.20842857142857144,0.8835
0.20842857142857144,0.884
0.2092857142857143,0.884
0.2092857142857143,0.8845
0.20985714285714285,0.8845
0.20985714285714285,0.885
0.2102857142857143,0.885
0.2102857142857143,0.8855
0.21214285714285713,0.8855
0.21214285714285713,0.886
0.21257142857142858,0.886
0.21257142857142858,0.8865
0.213,0.8865
0.213,0.887
0.21385714285714286,0.887
0.21385714285714286,0.8875
0.217,0.8875
0.217,0.8885
0.21728571428571428,0.8885
0.21728571428571428,0.889
0.21757142857142858,0.889
0.21757142857142858,0.8895
0.218,0.8895
0.218,0.89
0.22128571428571428,0.89
